occupation_name,technology_skills
"Refractory Materials Repairers, Except Brickmasons","Data base user interface and query software — Microsoft Access Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Facilities management software — Maintenance management software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Time accounting software — Time tracking software Related occupations
Word processing software — Microsoft Word Related occupations"
Refuse and Recyclable Material Collectors,"Analytical or scientific software — AMCS Platform Related occupations
Cloud-based data access and sharing software — Squeegee Related occupations
Compliance software — WAM software Related occupations
Data base user interface and query software — Dossier software
Data base user interface and query software — Mileage logging software Related occupations
Facilities management software — Computerized maintenance management system CMMS Related occupations
Map creation software — Routeware software Related occupations
Materials requirements planning logistics and supply chain software — Fleet management software Related occupations
Mobile location based services software — Global positioning system GPS software Related occupations
Time accounting software — Payroll software Related occupations"
Registered Nurses,"Business intelligence and data analysis software — Apache Spark Related occupations
Calendar and scheduling software — Per-Se Technologies ORSOS One-Call Related occupations
Categorization or classification software — Diagnostic and procedural coding software Related occupations
Cloud-based data access and sharing software — Google Drive Related occupations
Data base user interface and query software — Data entry software
Data base user interface and query software — Database software
Data base user interface and query software — FileMaker Pro
Data base user interface and query software — Microsoft Access Related occupations
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — IBM Notes
Electronic mail software — Microsoft Exchange
Electronic mail software — Microsoft Outlook Related occupations
Human resources software — Human resource management software HRMS
Human resources software — Oracle Taleo Related occupations
Information retrieval or search software — Drug guide software Related occupations
Medical software — eClinicalWorks EHR software
Medical software — Epic Systems
Medical software — Henry Schein Dentrix
Medical software — MEDITECH software
Medical software — 13 more Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Time accounting software — Kronos Workforce Timekeeper Related occupations
Video conferencing software — FaceTime Related occupations
Video creation and editing software — YouTube Related occupations
Web page creation and editing software — LinkedIn Related occupations
Word processing software — Google Docs
Word processing software — Microsoft Word Related occupations"
Regulatory Affairs Managers,"Analytical or scientific software — Analyse-it
Analytical or scientific software — Statistical analysis software Related occupations
Business intelligence and data analysis software — Tableau Related occupations
Compliance software — Aris Global Register
Compliance software — MediRegs E-dition Compliance Monitor
Compliance software — SAP EHS Management
Compliance software — Thomson Reuters Liquent InSight Suite
Compliance software — 5 more Related occupations
Data base user interface and query software — Database software
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Structured query language SQL Related occupations
Desktop publishing software — Document publishing software Related occupations
Development environment software — Integrated development environment IDE software
Development environment software — Software development tools Related occupations
Document management software — Adlib Express
Document management software — Adobe Acrobat
Document management software — Microsoft SharePoint
Document management software — Virtify eCTD
Document management software — 29 more Related occupations
Electronic mail software — IBM Notes
Electronic mail software — Microsoft Outlook Related occupations
Enterprise application integration software — XML authoring software Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Information retrieval or search software — Dialog DialogLink Related occupations
Internet browser software — Web browser software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Project management software — Microsoft Project
Project management software — Total quality management TQM software Related occupations
Risk management data and analysis software — MasterControl software
Risk management data and analysis software — Risk management software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Regulatory Affairs Specialists,"Accounting software — Fund accounting software
Accounting software — Tax software Related occupations
Analytical or scientific software — Analyse-it
Analytical or scientific software — Statistical software Related occupations
Business intelligence and data analysis software — MicroStrategy
Business intelligence and data analysis software — Qlik Tech QlikView Related occupations
Data base management system software — Relational database management software Related occupations
Data base reporting software — DataVision Related occupations
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Microsoft SQL Server
Data base user interface and query software — Structured query language SQL
Data base user interface and query software — Yardi software
Data base user interface and query software — 1 more Related occupations
Development environment software — Integrated development environment IDE software
Development environment software — Microsoft Visual Basic Related occupations
Document management software — Adobe Acrobat
Document management software — Atrion Intelligent Authoring
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Microsoft Dynamics
Enterprise resource planning ERP software — SAP software Related occupations
Human resources software — Human resource management software HRMS Related occupations
Information retrieval or search software — LexisNexis Related occupations
Internet browser software — Web browser software Related occupations
Medical software — Healthcare common procedure coding system HCPCS
Medical software — Medical procedure coding software Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Transaction security and virus protection software — McAfee
Transaction security and virus protection software — NortonLifeLock cybersecurity software Related occupations
Word processing software — Microsoft Word Related occupations"
Rehabilitation Counselors,"Accounting software — Budgeting software Related occupations
Analytical or scientific software — Test interpretation software Related occupations
Calendar and scheduling software — Fanatic Software Informant
Calendar and scheduling software — Microsoft Office Outlook
Calendar and scheduling software — Scheduling software Related occupations
Data base user interface and query software — Data input software
Data base user interface and query software — SkillTRAN Job Browser Pro
Data base user interface and query software — SkillTRAN OASYS Related occupations
Document management software — Adobe Acrobat Reader Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Internet browser software — Microsoft Internet Explorer
Internet browser software — Microsoft Mobile Explorer MME
Internet browser software — Netscape Navigator
Internet browser software — Web browser software Related occupations
Medical software — Chart Links
Medical software — Client information database software
Medical software — Electronic medical record EMR software Related occupations
Mobile location based services software — Global positioning system GPS software Related occupations
Mobile operator specific application software — Microsoft ActiveSync Related occupations
Office suite software — Microsoft Office Mobile
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Transaction security and virus protection software — Encryption software
Transaction security and virus protection software — Virus protection software Related occupations
Voice recognition software — Word recognition software Related occupations
Word processing software — Microsoft Word Related occupations"
Reinforcing Iron and Rebar Workers,"Computer aided design CAD software — OTP ArmaCAD Related occupations
Data base user interface and query software — RebarWin Related occupations
Project management software — Application Software SHEAR
Project management software — Applied Systems Associates aSa Rebar Related occupations
Spreadsheet software — Related occupations
Word processing software — Related occupations"
"Religious Workers, All Other",Section not found
Remote Sensing Scientists and Technologists,"Analytical or scientific software — Agisoft Metashape
Analytical or scientific software — Calibration software
Analytical or scientific software — Litchi
Analytical or scientific software — The MathWorks MATLAB
Analytical or scientific software — 7 more Related occupations
Application server software — Apache HTTP Server
Application server software — Docker
Application server software — GitHub Related occupations
Aviation ground support software — ArduPilot Mission Planner Related occupations
Business intelligence and data analysis software — Tableau Related occupations
Charting software — Aeronautical charts Related occupations
Cloud-based management software — Amazon Web Services AWS CloudFormation Related occupations
Computer based training software — Learning management system LMS Related occupations
Configuration management software — Puppet Related occupations
Customer relationship management CRM software — Salesforce software Related occupations
Data base management system software — Amazon DynamoDB
Data base management system software — Apache Hive
Data base management system software — Elasticsearch
Data base management system software — Microsoft SQL Server
Data base management system software — 3 more Related occupations
Data base user interface and query software — Amazon Elastic Compute Cloud EC2
Data base user interface and query software — Amazon Redshift
Data base user interface and query software — Amazon Web Services AWS software
Data base user interface and query software — Oracle Database
Data base user interface and query software — 1 more Related occupations
Development environment software — Apache Kafka
Development environment software — Go
Development environment software — Microsoft Visual Studio
Development environment software — Ruby
Development environment software — 3 more Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise application integration software — Extensible markup language XML Related occupations
Expert system software — Ansible software Related occupations
File versioning software — Git Related occupations
Geographic information system — ESRI ArcGIS software
Geographic information system — Geographic information system GIS systems Related occupations
Graphics or photo imaging software — Adobe Creative Cloud software
Graphics or photo imaging software — Image processing software
Graphics or photo imaging software — Microsoft Image Composite Editor Related occupations
Internet browser software — Web browser software Related occupations
Map creation software — ESRI Site Scan for ArcGIS
Map creation software — Gamma remote sensing software
Map creation software — Leica Geosystems ERDAS IMAGINE
Map creation software — PCI Geomatics Geomatica
Map creation software — 2 more Related occupations
Medical software — Epic Systems
Medical software — Healthcare common procedure coding system HCPCS Related occupations
Mobile location based services software — Global positioning system GPS software Related occupations
Object or component oriented development software — C#
Object or component oriented development software — Perl
Object or component oriented development software — Scala
Object or component oriented development software — Swift
Object or component oriented development software — 5 more Related occupations
Object oriented data base management software — PostgreSQL Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Bash
Operating system software — Linux
Operating system software — Microsoft Windows
Operating system software — UNIX Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Program testing software — Selenium Related occupations
Project management software — Airdata
Project management software — Atlassian JIRA
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Storage networking software — Amazon Simple Storage Service S3 Related occupations
Video creation and editing software — YouTube Related occupations
Web platform development software — JavaScript
Web platform development software — JavaScript Object Notation JSON
Web platform development software — Node.js
Web platform development software — Ruby on Rails
Web platform development software — 1 more Related occupations
Word processing software — Microsoft Word Related occupations"
Remote Sensing Technicians,"Analytical or scientific software — Calibration software
Analytical or scientific software — Opticks
Analytical or scientific software — SAS
Analytical or scientific software — The MathWorks MATLAB
Analytical or scientific software — 15 more Related occupations
Application server software — GitHub Related occupations
Aviation ground support software — ArduPilot Mission Planner Related occupations
Charting software — Aeronautical charts Related occupations
Cloud-based management software — Splunk Enterprise Related occupations
Clustering software — VMware Related occupations
Computer aided design CAD software — Autodesk AutoCAD
Computer aided design CAD software — Bentley MicroStation
Computer aided design CAD software — Mathsoft Mathcad Related occupations
Customer relationship management CRM software — Salesforce software Related occupations
Data base management system software — Microsoft SQL Server
Data base management system software — MySQL Related occupations
Data base user interface and query software — Amazon Elastic Compute Cloud EC2
Data base user interface and query software — Amazon Web Services AWS software
Data base user interface and query software — Oracle Database
Data base user interface and query software — ServiceNow
Data base user interface and query software — 3 more Related occupations
Data mining software — Google Analytics Related occupations
Development environment software — Microsoft .NET Framework
Development environment software — Microsoft Azure software
Development environment software — Microsoft PowerShell
Development environment software — Microsoft Visual Studio
Development environment software — 2 more Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Expert system software — Ansible software Related occupations
File versioning software — Git Related occupations
Geographic information system — ESRI ArcCatalog
Geographic information system — ESRI ArcGIS software
Geographic information system — ESRI ArcView 3D Analyst
Geographic information system — Geographic information system GIS systems
Geographic information system — 1 more Related occupations
Graphics or photo imaging software — Adobe Creative Cloud software
Graphics or photo imaging software — Adobe Photoshop
Graphics or photo imaging software — Microsoft Image Composite Editor Related occupations
Internet browser software — Web browser software Related occupations
Map creation software — Applied Imagery Quick Terrain Modeler
Map creation software — BAE Systems SOCET SET
Map creation software — ITT Visual Information Solutions ENVI
Map creation software — Leica Geosystems ERDAS IMAGINE
Map creation software — 2 more Related occupations
Mobile location based services software — Global positioning system GPS software Related occupations
Object or component oriented development software — C#
Object or component oriented development software — Oracle Java
Object or component oriented development software — Perl
Object or component oriented development software — R
Object or component oriented development software — 2 more Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Server
Operating system software — Shell script
Operating system software — UNIX
Operating system software — UNIX Shell
Operating system software — 4 more Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Program testing software — Debugging software Related occupations
Project management software — Airdata
Project management software — Atlassian Confluence
Project management software — Atlassian JIRA
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web platform development software — AJAX
Web platform development software — Cascading style sheets CSS
Web platform development software — jQuery
Web platform development software — React
Web platform development software — 3 more Related occupations
Word processing software — Microsoft Word Related occupations"
Reservation and Transportation Ticket Agents and Travel Clerks,"Calendar and scheduling software — Property scheduling software Related occupations
Data base user interface and query software — Amadeus Altea Reservation
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Property management system PMS software
Data base user interface and query software — Worldspan Go!
Data base user interface and query software — 5 more Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Financial analysis software — Delphi Technology Related occupations
Internet browser software — Web browser software Related occupations
Office suite software — Corel WordPerfect Office Suite
Office suite software — Microsoft Office software Related occupations
Point of sale POS software — MICROS Systems MICROS 9700 HMS Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Residential Advisors,"Accounting software — Budgeting software Related occupations
Analytical or scientific software — Survey software Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Internet browser software — Web browser software Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web page creation and editing software — Website development software Related occupations
Word processing software — Google Docs
Word processing software — Microsoft Word Related occupations"
Respiratory Therapists,"Calendar and scheduling software — Related occupations
Data base user interface and query software — Database software Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Medical software — eClinicalWorks EHR software
Medical software — Electronic medical record EMR software
Medical software — HMS
Medical software — MEDITECH software Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Retail Loss Prevention Specialists,"Analytical or scientific software — Aspect Loss Prevention Aspect EliteLP
Analytical or scientific software — Epicor Loss Prevention Related occupations
Data base user interface and query software — Case management system software
Data base user interface and query software — Database software
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Structured query language SQL Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise application integration software — Enterprise application integration EAI software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Transaction security and virus protection software — McAfee
Transaction security and virus protection software — NortonLifeLock cybersecurity software Related occupations
Word processing software — Microsoft Word Related occupations"
Retail Salespersons,"Accounting software — Intuit QuickBooks
Accounting software — Sage 50 Accounting Related occupations
Cloud-based data access and sharing software — Google Drive Related occupations
Computer aided design CAD software — Autodesk AutoCAD Related occupations
Customer relationship management CRM software — Microsoft Dynamics
Customer relationship management CRM software — Salesforce software Related occupations
Data base user interface and query software — Database software
Data base user interface and query software — FileMaker Pro
Data base user interface and query software — Gift registry software
Data base user interface and query software — Microsoft Access
Data base user interface and query software — 1 more Related occupations
Desktop publishing software — Adobe InDesign Related occupations
Development environment software — Eclipse IDE Related occupations
Document management software — Adobe Acrobat
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — IBM Notes
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Oracle PeopleSoft
Enterprise resource planning ERP software — SAP software Related occupations
Graphics or photo imaging software — Adobe Creative Cloud software
Graphics or photo imaging software — Adobe Illustrator
Graphics or photo imaging software — Adobe Photoshop
Graphics or photo imaging software — SmugMug Flickr Related occupations
Human resources software — Exact business software Related occupations
Instant messaging software — Blink
Instant messaging software — GroupMe Related occupations
Internet browser software — Related occupations
Inventory management software — Inventory management systems Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Apple macOS
Operating system software — Handheld computer device software
Operating system software — Microsoft Windows Related occupations
Point of sale POS software — iQmetrix RQ4 Retail Management System
Point of sale POS software — Plexis Software Plexis POS
Point of sale POS software — The General Store
Point of sale POS software — TokenWorks Magnetic Card Reader
Point of sale POS software — 33 more Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video conferencing software — Google Meet Related occupations
Video creation and editing software — YouTube Related occupations
Web page creation and editing software — Facebook
Web page creation and editing software — LinkedIn
Web page creation and editing software — Social media sites Related occupations
Word processing software — Google Docs
Word processing software — Microsoft Word Related occupations"
Riggers,"Computer aided design CAD software — Autodesk AutoCAD Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Graphics or photo imaging software — Autodesk Maya Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Robotics Engineers,"Analytical or scientific software — Computer-aided engineering CAE software
Analytical or scientific software — Gazebo
Analytical or scientific software — MathWorks Simulink
Analytical or scientific software — The MathWorks MATLAB
Analytical or scientific software — 6 more Related occupations
Compiler and decompiler software — Compilers Related occupations
Computer aided design CAD software — Autodesk AutoCAD
Computer aided design CAD software — Bentley MicroStation
Computer aided design CAD software — Dassault Systemes CATIA
Computer aided design CAD software — Dassault Systemes SolidWorks
Computer aided design CAD software — 3 more Related occupations
Content workflow software — Atlassian JIRA Related occupations
Data base user interface and query software — Amazon Web Services AWS software
Data base user interface and query software — Oracle Database
Data base user interface and query software — Structured query language SQL Related occupations
Development environment software — C
Development environment software — Microsoft .NET Framework
Development environment software — Microsoft Visual Basic
Development environment software — Microsoft Visual Studio
Development environment software — 5 more Related occupations
Electronic mail software — Microsoft Outlook Related occupations
File versioning software — Concurrent Versions Systems
File versioning software — Git
File versioning software — Version control software Related occupations
Graphical user interface development software — Graphical user interface GUI builder software Related occupations
Industrial control software — Programmable logic controller PLC software
Industrial control software — Rockwell RSLogix
Industrial control software — Supervisory control and data acquisition SCADA software
Industrial control software — Variable frequency drive VFD software
Industrial control software — 6 more Related occupations
Object or component oriented development software — C#
Object or component oriented development software — C++
Object or component oriented development software — Oracle Java
Object or component oriented development software — Python
Object or component oriented development software — 1 more Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Linux
Operating system software — Microsoft Windows
Operating system software — Real time operating system RTOS software
Operating system software — UNIX
Operating system software — 2 more Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Program testing software — Debuggers
Program testing software — Profilers Related occupations
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video creation and editing software — Video digitizers Related occupations
Web platform development software — JavaScript Related occupations
Word processing software — Microsoft Word Related occupations"
Robotics Technicians,"Analytical or scientific software — Logic Design RoboLogix
Analytical or scientific software — MathWorks Simulink
Analytical or scientific software — Simulation software
Analytical or scientific software — The MathWorks MATLAB
Analytical or scientific software — 1 more Related occupations
Computer aided design CAD software — Autodesk AutoCAD
Computer aided design CAD software — Bentley MicroStation
Computer aided design CAD software — Dassault Systemes CATIA
Computer aided design CAD software — Dassault Systemes SolidWorks Related occupations
Computer aided manufacturing CAM software — Related occupations
Data base user interface and query software — Database software
Data base user interface and query software — Structured query language SQL Related occupations
Development environment software — ABB RobotStudio
Development environment software — Ada
Development environment software — C
Development environment software — Ladder Logic Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
File versioning software — Git Related occupations
Industrial control software — FANUC Robotics Through Arc Seam Tracking TAST
Industrial control software — Programmable logic controller PLC software
Industrial control software — Siemens SIMATIC STEP 7
Industrial control software — Supervisory control and data acquisition SCADA software
Industrial control software — 15 more Related occupations
Object or component oriented development software — C#
Object or component oriented development software — C++
Object or component oriented development software — Oracle Java
Object or component oriented development software — Python Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Linux
Operating system software — Microsoft Windows
Operating system software — UNIX
Operating system software — Windows Embedded Compact Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web platform development software — JavaScript Related occupations
Word processing software — Microsoft Word Related occupations"
"Rock Splitters, Quarry","Analytical or scientific software — Minitab Related occupations
Application server software — Apache HTTP Server Related occupations
Computer aided design CAD software — Autodesk AutoCAD Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Facilities management software — Maintenance reporting software Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Time accounting software — Time reporting software Related occupations
Web page creation and editing software — Facebook Related occupations
Word processing software — Microsoft Word Related occupations"
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Electronic mail software — Email software Related occupations
Internet browser software — Web browser software Related occupations"
"Roof Bolters, Mining","Enterprise resource planning ERP software — Caterpillar Cat MineStar System Related occupations
Industrial control software — Caterpillar Command Related occupations"
Roofers,"Analytical or scientific software — Energy cost evaluation software
Analytical or scientific software — Exele TopView
Analytical or scientific software — Humidity and vapor drive calculation software
Analytical or scientific software — Roofing Calculator Related occupations
Computer aided design CAD software — AppliCad Roof Wizard
Computer aided design CAD software — ASR Software TopView LE
Computer aided design CAD software — DigiTools Roof CAD
Computer aided design CAD software — Ziatek RoofDraw
Computer aided design CAD software — 3 more Related occupations
Data base user interface and query software — CADAFIS
Data base user interface and query software — Insight Direct ServiceCEO
Data base user interface and query software — RoofLogic
Data base user interface and query software — Wintac Pro
Data base user interface and query software — 1 more Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Project management software — Maintenance record software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Rotary Drill Operators, Oil and Gas","Analytical or scientific software — Schlumberger Petrel E&P Related occupations
Customer relationship management CRM software — Salesforce software Related occupations
Data base user interface and query software — Drillingsoftware Tubular Database
Data base user interface and query software — Pason WellView Field Solution
Data base user interface and query software — Structure query language SQL Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Industrial control software — CAPSHER Technology SureTec
Industrial control software — Drillingsoftware DrillPro Related occupations
Object or component oriented development software — Python Related occupations
Office suite software — Microsoft Office software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Roustabouts, Oil and Gas","Data base management system software — Database management systems Related occupations
Data base user interface and query software — Microsoft Access Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Maintenance software
Enterprise resource planning ERP software — SAP software Related occupations
Internet protocol IP multimedia subsystem software — Telephony software Related occupations
Inventory management software — Enertia
Inventory management software — Inventory management systems Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows
Operating system software — Microsoft Windows XP Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Procurement software — Purchasing software Related occupations
Project management software — Maintenance record software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Switch or router software — Token Ring Related occupations
Word processing software — Microsoft Word Related occupations"
Sailors and Marine Oilers,"Data base user interface and query software — KNMI TurboWin
Data base user interface and query software — Kongsberg Maritime K-Log Deck Logbook
Data base user interface and query software — Log book software Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Facilities management software — Computerized maintenance management system CMMS Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Sales and Related Workers, All Other",Section not found
Sales Engineers,"Access software — Citrix cloud computing software Related occupations
Administration software — Cisco Systems CiscoWorks Related occupations
Application server software — Docker
Application server software — Kubernetes Related occupations
Authentication server software — Single sign-on SSO Related occupations
Business intelligence and data analysis software — IBM Cognos Business Intelligence
Business intelligence and data analysis software — IBM Cognos Impromptu
Business intelligence and data analysis software — MapReduce big data software
Business intelligence and data analysis software — MicroStrategy Related occupations
Calendar and scheduling software — Scheduling software Related occupations
Cloud-based data access and sharing software — Platform as a service PaaS
Cloud-based data access and sharing software — Software as a service SaaS Related occupations
Cloud-based management software — Google Cloud software
Cloud-based management software — Splunk Enterprise Related occupations
Communications server software — IBM Domino Related occupations
Computer aided design CAD software — Autodesk AutoCAD
Computer aided design CAD software — Dassault Systemes SolidWorks Related occupations
Content workflow software — Atlassian JIRA Related occupations
Customer relationship management CRM software — Microsoft Dynamics
Customer relationship management CRM software — Salesforce software Related occupations
Data base management system software — Apache Cassandra
Data base management system software — Apache Hadoop
Data base management system software — Apache Pig
Data base management system software — Teradata Database
Data base management system software — 1 more Related occupations
Data base reporting software — SAP BusinessObjects Crystal Reports Related occupations
Data base user interface and query software — Amazon Web Services AWS software
Data base user interface and query software — IBM DB2
Data base user interface and query software — Microsoft SQL Server
Data base user interface and query software — Oracle Database
Data base user interface and query software — 4 more Related occupations
Development environment software — C
Development environment software — Microsoft Azure software
Development environment software — Ruby Related occupations
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — Microsoft Exchange
Electronic mail software — Microsoft Outlook Related occupations
Enterprise application integration software — Enterprise application integration EAI software
Enterprise application integration software — Extensible markup language XML Related occupations
Enterprise resource planning ERP software — Hyperion Solutions Hyperion System 9 Bi+
Enterprise resource planning ERP software — Oracle PeopleSoft
Enterprise resource planning ERP software — SAP Business Objects
Enterprise resource planning ERP software — SAP software
Enterprise resource planning ERP software — 5 more Related occupations
Expert system software — Ansible software Related occupations
Financial analysis software — Sales analysis software Related occupations
Graphics or photo imaging software — Graphics software Related occupations
Internet browser software — Web browser software Related occupations
Internet directory services software — Microsoft Active Directory
Internet directory services software — Network directory services software Related occupations
Internet protocol IP multimedia subsystem software — Voice over internet protocol VoIP system software Related occupations
Network monitoring software — Wireshark Related occupations
Network security and virtual private network VPN equipment software — Firewall software
Network security and virtual private network VPN equipment software — Virtual private networking VPN software Related occupations
Network security or virtual private network VPN management software — Cisco Systems VPN Client Related occupations
Object or component oriented development software — C++
Object or component oriented development software — Oracle Java
Object or component oriented development software — Perl
Object or component oriented development software — R
Object or component oriented development software — 1 more Related occupations
Office suite software — Google Workspace software
Office suite software — Microsoft Office software Related occupations
Operating system software — Apple iOS
Operating system software — Microsoft Windows Server
Operating system software — Shell script
Operating system software — UNIX
Operating system software — 3 more Related occupations
Presentation software — Microsoft PowerPoint
Presentation software — WebEx Sales Center Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Project management software — Microsoft Project
Project management software — Microsoft Teams Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Switch or router software — Border Gateway Protocol BGP Related occupations
Transaction security and virus protection software — McAfee
Transaction security and virus protection software — NortonLifeLock cybersecurity software Related occupations
Video conferencing software — Microsoft Office Live Meeting Related occupations
Web platform development software — Extensible hypertext markup language XHTML
Web platform development software — JavaScript
Web platform development software — PHP
Web platform development software — React
Web platform development software — 4 more Related occupations
Word processing software — Microsoft Word Related occupations"
